pointest,lb,ub,interval width,coverage,estimator,budget,MSE,log interval width
3.303834003694937,1.8896043861647605,4.718063621225113,2.828459235060352,True,aipw_full,1.0,0.18376146619645836,1.0397321234859214
2.923005214484639,1.454368213832621,4.391642215136656,2.9372740013040346,True,adaptive-plugin,0.3,0.002289171776262429,1.0774819407842864
3.040377047591398,2.4659820449386594,3.6147720502441363,1.148790005305477,True,adaptive-balance,0.3,0.027296697771397604,0.13870921915687767
4.766622409575344,0.6772680137077289,8.85597680544296,8.178708791735232,True,random,0.3,3.5776303325481367,2.101534288734004
3.301265515418331,1.931641300561572,4.67088973027509,2.739248429713518,True,aipw_full,1.0,0.18156597463455454,1.0076835870490324
2.9315677766063786,1.583578120777723,4.279557432435034,2.695979311657311,True,adaptive-plugin,0.3,0.0031818457822593736,0.9917615193030028
3.371919460744313,2.8141835686371186,3.9296553528515075,1.1154717842143889,True,adaptive-balance,0.3,0.24677003687612248,0.10927744027595768
2.8390118323779614,-0.16218217894184672,5.8402058436977695,6.002388022639616,True,random,0.3,0.001306684562138133,1.7921573938188318
3.2733613360929557,1.7852048312261366,4.761517840959774,2.976313009733637,True,aipw_full,1.0,0.15856436421583078,1.0906852894419214
3.6366048950172294,2.132124295191444,5.141085494843015,3.008961199651571,True,adaptive-plugin,0.3,0.5797984431665391,1.1015949027995893
2.160864983852809,1.553804078939743,2.767925888765875,1.214121809826132,False,adaptive-balance,0.3,0.5102172621961304,0.19402102518713263
4.667545717665106,0.21975918464202682,9.115332250688184,8.895573066046156,True,random,0.3,3.212646831635568,2.185553744680123
3.27796815577822,1.7788692357484808,4.77706707580796,2.998197840059479,True,aipw_full,1.0,0.16225447120694172,1.0980113881833966
3.334501735140413,2.349803011766643,4.3192004585141826,1.9693974467475392,True,adaptive-plugin,0.3,0.21099489902687762,0.6777276313686237
3.255234473073906,2.6765218873822643,3.8339470587655478,1.1574251713832835,True,adaptive-balance,0.3,0.1444566624939013,0.14619785813545788
2.35181857309854,-1.0386133420904224,5.742250488287502,6.780863830377925,True,random,0.3,0.27388617005883326,1.91410450244683
3.264472386396238,1.7962374150579414,4.732707357734535,2.9364699426765934,True,aipw_full,1.0,0.15156419300844476,1.077208160163227
2.5157164278702266,1.3489784754897463,3.6824543802507073,2.3334759047609612,True,adaptive-plugin,0.3,0.12919962725029385,0.8473589605609619
3.2627750245393035,2.6214275170482026,3.9041225320304043,1.2826950149822016,True,adaptive-balance,0.3,0.1502454657991237,0.24896334496872516
3.8491690587145855,-0.5524663606348139,8.250804478063985,8.8032708386988,True,random,0.3,0.9486937935853224,2.1751233386417237
